Date,adjclose,close,high,low,open,volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2024-10-31,186.39999389648438,186.39999389648438,190.60000610351562,185.22999572753906,190.50999450683594,75146800,205.38814,198.38000488281253,11.980010986328153,0.0
2024-11-14,211.47999572753906,211.47999572753906,215.89999389648438,210.8800048828125,214.16000366210938,42620300,219.79607,227.02999877929688,15.550003051757812,0.0
2024-11-25,201.4499969482422,201.4499969482422,201.9499969482422,199.0,199.27999877929688,40685700,215.77437,231.14999389648438,29.699996948242188,0.0
2024-11-27,205.74000549316406,205.74000549316406,207.63999938964844,205.0500030517578,206.97999572753906,28061600,215.83827,223.2899932861328,17.54998779296875,0.0
2024-12-03,213.44000244140625,213.44000244140625,214.02000427246094,209.64999389648438,210.30999755859375,32214800,217.68665,229.05000305175778,15.610000610351534,0.0
2024-12-09,226.08999633789062,226.08999633789062,230.0800018310547,225.6699981689453,227.2100067138672,46819400,224.21785,219.38999938964844,0.0,6.6999969482421875
2024-12-17,231.14999389648438,231.14999389648438,232.72999572753906,227.85000610351562,232.38999938964844,35948100,230.63872,218.94000244140625,0.0,12.209991455078125
2024-12-18,220.52000427246094,220.52000427246094,231.39999389648438,220.11000061035156,230.77000427246094,43281400,230.49176,218.4600067138672,-2.05999755859375,0.0
2024-12-19,223.2899932861328,223.2899932861328,226.08999633789062,222.9199981689453,224.91000366210938,39918700,229.93124,217.75999450683594,-5.529998779296875,0.0
2024-12-26,227.0500030517578,227.0500030517578,228.5,226.6699981689453,228.5,16146700,227.52524,230.7100067138672,3.660003662109375,0.0
2024-12-27,223.75,223.75,226.02999877929688,220.89999389648438,225.60000610351562,27367100,227.00807,235.00999450683594,11.259994506835938,0.0
2024-12-31,219.38999938964844,219.38999938964844,223.22999572753906,218.94000244140625,222.97000122070312,24819700,224.88356,234.85000610351562,15.460006713867188,0.0
2025-01-07,222.11000061035156,222.11000061035156,228.3800048828125,221.4600067138672,227.89999389648438,28084200,221.90437,234.63999938964844,0.0,-12.529998779296875
2025-01-16,220.66000366210938,220.66000366210938,224.64999389648438,220.30999755859375,224.4199981689453,24757300,214.17514,229.14999389648438,0.0,-8.489990234375
2025-01-22,235.00999450683594,235.00999450683594,235.44000244140625,231.19000244140625,232.02000427246094,41448200,213.83794,228.92999267578125,0.0,6.0800018310546875
2025-01-24,234.85000610351562,234.85000610351562,236.39999389648438,232.92999267578125,234.5,25890700,215.23987,228.67999267578125,0.0,6.170013427734375
2025-02-03,237.4199981689453,237.4199981689453,239.25,232.89999389648438,234.05999755859375,37285900,214.8855,212.80000305175784,0.0,24.61999511718747
2025-02-20,222.8800048828125,222.8800048828125,225.1300048828125,221.80999755859375,224.77999877929688,30001700,200.41927,193.88999938964844,0.0,28.990005493164062
2025-02-21,216.5800018310547,216.5800018310547,223.30999755859375,214.74000549316406,223.27999877929688,55323900,198.74974,197.9499969482422,0.0,18.6300048828125
2025-03-07,199.25,199.25,202.27000427246094,192.52999877929688,199.49000549316406,59802800,180.63722,192.72000122070312,0.0,6.529998779296875
2025-03-14,197.9499969482422,197.9499969482422,198.64999389648438,195.32000732421875,197.41000366210938,38096700,177.23297,170.99999999999997,0.0,26.949996948242216
2025-03-17,195.74000549316406,195.74000549316406,199.0,194.32000732421875,198.77000427246094,47341800,177.41455,175.2599945068359,0.0,20.480010986328153
2025-03-18,192.82000732421875,192.82000732421875,194.0,189.3800048828125,192.52000427246094,40414900,177.1802,170.66000366210938,0.0,22.160003662109375
2025-03-25,205.7100067138672,205.7100067138672,206.2100067138672,203.22000122070312,203.60000610351562,31171200,182.20949,179.58999633789062,0.0,26.120010375976562
2025-04-03,178.41000366210938,178.41000366210938,184.1300048828125,176.9199981689453,183.0,95553600,187.55582,188.99000549316406,10.580001831054688,0.0
2025-04-21,167.32000732421875,167.32000732421875,169.60000610351562,165.2899932861328,169.60000610351562,48126100,193.97148,208.63999938964844,41.31999206542969,0.0
2025-04-22,173.17999267578125,173.17999267578125,176.77999877929688,169.35000610351562,169.85000610351562,56607200,193.37793,211.36999511718753,38.19000244140628,0.0
2025-05-02,189.97999572753906,189.97999572753906,192.8800048828125,186.39999389648438,191.44000244140625,77903500,206.49535,200.99000549316406,11.010009765625,0.0
2025-05-05,186.35000610351562,186.35000610351562,188.17999267578125,185.52999877929688,186.50999450683594,35217500,207.3413,206.0200042724609,19.669998168945284,0.0
2025-05-28,204.72000122070312,204.72000122070312,207.66000366210938,204.41000366210938,205.9199981689453,28549800,220.81288,212.5200042724609,7.800003051757784,0.0
2025-05-30,205.00999450683594,205.00999450683594,205.99000549316406,201.6999969482422,204.83999633789062,51679400,220.87253,208.47000122070312,3.4600067138671875,0.0
2025-06-05,207.91000366210938,207.91000366210938,212.80999755859375,207.55999755859375,209.5500030517578,51864200,221.24884,223.3000030517578,15.389999389648438,0.0
2025-06-10,217.61000061035156,217.61000061035156,217.69000244140625,214.14999389648438,216.77999877929688,31303300,223.69267,219.9199981689453,2.30999755859375,0.0
2025-06-13,212.10000610351562,212.10000610351562,214.0500030517578,209.6199951171875,209.9600067138672,29337800,224.74709,219.36000061035156,7.2599945068359375,0.0
2025-06-24,212.77000427246094,212.77000427246094,214.33999633789062,211.0500030517578,212.13999938964844,38378800,221.68666,223.19000244140625,10.419998168945312,0.0
2025-06-27,223.3000030517578,223.3000030517578,223.3000030517578,216.74000549316406,219.9199981689453,119217100,221.31113,229.3000030517578,0.0,-6.0
2025-07-08,219.36000061035156,219.36000061035156,224.0,218.42999267578125,223.9199981689453,45692000,224.3074,231.00999450683594,11.649993896484375,0.0
2025-07-11,225.02000427246094,225.02000427246094,226.67999267578125,222.3699951171875,223.5800018310547,50518300,224.57831,214.74999999999997,0.0,10.270004272460966
