Date,Adj Close,Close,High,Low,Open,Volume
2024-01-02,106.3669204711914,113.61000061035156,113.61000061035156,111.79000091552734,111.8499984741211,1628690
2024-01-03,104.98128509521484,112.12999725341797,112.9800033569336,112.0199966430664,112.5999984741211,1207784
2024-01-04,104.38208770751953,111.48999786376953,112.32499694824219,110.94000244140625,112.30000305175781,1380616
2024-01-05,105.78644561767578,112.98999786376953,113.23999786376953,111.9000015258789,112.0,1502441
2024-01-08,104.84085083007812,111.9800033569336,113.22000122070312,111.87000274658203,112.76000213623047,1784232
2024-01-09,105.81453704833984,113.0199966430664,113.30000305175781,112.63999938964844,113.27999877929688,1510571
2024-01-10,104.89701080322266,112.04000091552734,113.30000305175781,112.04000091552734,112.97000122070312,1415900
2024-01-11,106.35755157470703,113.5999984741211,113.66000366210938,112.23999786376953,112.5,1667803
2024-01-12,106.3856430053711,113.62999725341797,113.80000305175781,112.80000305175781,113.0,1678657
2024-01-15,106.4792709350586,113.7300033569336,113.80000305175781,113.1500015258789,113.5,207240
2024-01-16,105.79581451416016,113.0,113.66000366210938,112.80000305175781,113.5,1896379
2024-01-17,105.16853332519531,112.33000183105469,112.98999786376953,111.70999908447266,112.81999969482422,2189913
2024-01-18,105.30897521972656,112.4800033569336,112.91000366210938,111.37000274658203,111.37000274658203,2131509
2024-01-19,106.0579605102539,113.27999877929688,113.9000015258789,112.70999908447266,113.12000274658203,4107588
2024-01-22,107.4810562133789,114.80000305175781,114.8499984741211,113.55000305175781,114.0,2353571
2024-01-23,108.2862319946289,115.66000366210938,115.9800033569336,114.70999908447266,114.9000015258789,2197384
2024-01-24,107.3874282836914,114.69999694824219,116.0,114.52999877929688,116.0,1509853
2024-01-25,107.5372314453125,114.86000061035156,115.13999938964844,114.0,115.0,1967920
2024-01-29,108.52964782714844,115.91999816894531,116.0,115.0,116.0,2017654
2024-01-30,108.65137481689453,116.05000305175781,116.94000244140625,115.7699966430664,116.12000274658203,1982285
2024-01-31,110.0370101928711,117.52999877929688,118.23999786376953,115.20500183105469,116.0,4128431
2024-02-01,106.82568359375,114.0999984741211,116.80000305175781,114.0999984741211,116.6500015258789,2593915
2024-02-02,108.4266586303711,115.80999755859375,116.12000274658203,114.43000030517578,114.80999755859375,2545023
2024-02-05,108.1176986694336,115.4800033569336,115.4800033569336,113.97000122070312,115.0199966430664,1142496
2024-02-06,107.07847595214844,114.37000274658203,115.63999938964844,114.1500015258789,115.31999969482422,1997385
2024-02-07,107.24699401855469,114.55000305175781,115.63999938964844,114.22000122070312,114.91999816894531,1737069
2024-02-08,108.48284912109375,115.87000274658203,116.0,114.44000244140625,115.13999938964844,1366549
2024-02-09,108.8292465209961,116.23999786376953,116.75,116.01000213623047,116.2699966430664,2086972
2024-02-12,108.35176849365234,115.7300033569336,116.77999877929688,115.55000305175781,116.5,1005660
2024-02-13,108.60454559326172,116.0,117.75,116.0,117.26000213623047,1758908
2024-02-14,106.79759979248047,114.06999969482422,114.06999969482422,111.55999755859375,113.16000366210938,2740465
2024-02-15,106.8818588256836,114.16000366210938,115.16999816894531,113.26000213623047,113.5,2315896
2024-02-16,108.86669921875,116.27999877929688,116.27999877929688,114.77999877929688,115.75,3844462
2024-02-19,109.66250610351562,117.12999725341797,117.29000091552734,115.62000274658203,115.86000061035156,1386827
2024-02-20,109.49398040771484,116.94999694824219,117.80000305175781,116.05999755859375,117.4000015258789,1772794
2024-02-21,109.32231140136719,114.62000274658203,115.95999908447266,114.0999984741211,114.30999755859375,3281940
2024-02-22,109.16015625,114.44999694824219,115.0,113.30999755859375,115.0,1691941
2024-02-23,109.5226058959961,114.83000183105469,115.87999725341797,114.56999969482422,115.33000183105469,1576082
2024-02-26,110.56221771240234,115.91999816894531,115.98999786376953,115.06999969482422,115.31999969482422,1623264
2024-02-27,111.70674896240234,117.12000274658203,117.12000274658203,115.53500366210938,116.19999694824219,2199043
2024-02-28,110.60037231445312,115.95999908447266,117.30000305175781,115.66999816894531,117.25,1605950
2024-02-29,111.02957153320312,116.41000366210938,116.76000213623047,115.2300033569336,116.18000030517578,4036090
2024-03-01,111.93566131591797,117.36000061035156,117.36000061035156,116.19999694824219,116.75,1547236
2024-03-04,112.66053771972656,118.12000274658203,118.55000305175781,117.36000061035156,117.55000305175781,1657258
2024-03-05,111.53507995605469,116.94000244140625,118.69999694824219,116.7699966430664,118.5999984741211,1985735
2024-03-06,112.84175109863281,118.30999755859375,118.41000366210938,116.68000030517578,117.0,1499396
2024-03-07,113.7383041381836,119.25,119.37000274658203,118.38999938964844,118.5,2404787
2024-03-08,115.83662414550781,121.44999694824219,121.54000091552734,119.0199966430664,119.54000091552734,3693739
2024-03-11,112.6700668334961,118.12999725341797,120.2300033569336,117.93000030517578,119.98999786376953,1620096
2024-03-12,112.298095703125,117.73999786376953,120.08000183105469,117.51000213623047,119.0199966430664,1912342
2024-03-13,112.11688995361328,117.55000305175781,118.22000122070312,116.81999969482422,118.01000213623047,1749751
2024-03-14,110.84835815429688,116.22000122070312,117.55999755859375,115.33999633789062,117.54000091552734,1972503
2024-03-15,110.19978332519531,115.54000091552734,115.54000091552734,114.0,115.0,5370902
2024-03-18,111.07726287841797,116.45999908447266,116.55999755859375,115.2699966430664,115.4000015258789,1471598
2024-03-19,110.4286880493164,115.77999877929688,116.44000244140625,115.33000183105469,116.43000030517578,1817662
2024-03-20,110.30470275878906,115.6500015258789,116.87000274658203,115.6500015258789,116.30000305175781,2011037
2024-03-21,112.54608154296875,118.0,118.05000305175781,116.54000091552734,117.0999984741211,3579903
